TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction
116.9409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
116.9743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.0076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.0409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.0743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.1076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.1409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.1743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.2076,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.2409,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.2743,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.2965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.3298,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.3631,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.3965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.4298,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.4631,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.4965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.5298,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.5631,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.5965,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.6298,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
117.6631,1,Training,0,Shelves,Shelves,Hand Interaction,Vis5 Grabbed
118.6409,1,Training,0,Shelves,Shelves,Foot Interaction,Right Foot Press
119.9964,1,Training,0,Shelves,Shelves,TaskBoard,Left Taskboard Show
125.0075,1,Training,0,Shelves,Shelves,Foot Interaction,Right Foot Press
128.6186,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.663,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.7075,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.7408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.7741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.8074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.8408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.8852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.9186,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.9519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
128.9963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.0297,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.063,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.0963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.1297,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.1519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.1963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.2297,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.263,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.2963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.3297,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.3741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.4075,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.4408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.4741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.5074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.5408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.5741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.6075,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.6408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.6852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.7186,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.7519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.7852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.8186,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.8519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.8852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.9185,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.9519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
129.9852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.0186,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.0519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.0852,1,Training,0,Shelves,Shelves,Foot Interaction,Right Foot Press
130.0852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.1185,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.163,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.1963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.2297,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.263,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.3074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.3408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.3741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
