TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
96.37342,14,13,2,Shelves,Shelves,-0.1649985,0.8098145,-0.210478,333.5299,23.64464,181.0402,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.40675,14,13,2,Shelves,Shelves,-0.1649869,0.8098077,-0.2104857,333.5335,23.65165,181.0405,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.45119,14,13,2,Shelves,Shelves,-0.1649854,0.8098063,-0.2104869,333.5342,23.65128,181.0424,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.48453,14,13,2,Shelves,Shelves,-0.1649989,0.8097826,-0.2104896,333.5468,23.65095,181.0347,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.51786,14,13,2,Shelves,Shelves,-0.1650078,0.8097922,-0.2104824,333.5419,23.64323,181.0371,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.55119,14,13,2,Shelves,Shelves,-0.1649894,0.809791,-0.2104908,333.5424,23.65215,181.0397,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.59563,14,13,2,Shelves,Shelves,-0.1650034,0.8097931,-0.2104837,333.5412,23.6477,181.0344,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.64008,14,13,2,Shelves,Shelves,-0.1649924,0.8097845,-0.2104919,333.5458,23.65267,181.0374,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.67341,14,13,2,Shelves,Shelves,-0.1649902,0.8097943,-0.2104893,333.5407,23.64942,181.0424,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
96.70674,14,13,2,Shelves,Shelves,-0.1649898,0.8097802,-0.2104945,333.5482,23.65179,181.0409,-0.156117,0.7702943,-0.3305458,57.56099,107.8403,307.589,-0.2030171,0.773044,-0.3679098,55.03514,180.7222,53.45066,0,0,0,0,0,0,0,0,0,270,264.821,0,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
